query,positive_passage
What does this passage describe?,Internals 59.3. Foreign Data Wrapper Helper Functions .......................................................2424 59.4. Foreign Data Wrapper Query Planning .........................................................2425 59.5. Row Locking in Foreign Data Wrappers .......................................................2428 60. Writing a Table Sampling Method .........................................................................2430 60.1. Sampling Method Support Functions ............................................................2430 61. Writing a Custom Scan Provider ...........................................................................2433 61.1. Creating Custom Scan Paths .......................................................................2433 61.1.1. Custom Scan Path Callbacks ............................................................2434 61.2. Creating Custom Scan Plans .......................................................................2434 61.2.1. Custom Scan Plan Callbacks ............................................................2435 61.3. Executing Custom Scans ............................................................................2435 61.3.1. Custom Scan Execution Callbacks ....................................................2436 62. Genetic Query Optimizer ......................................................................................2438 62.1. Query Handling as a Complex Optimization Problem ......................................2438 62.2. Genetic Algorithms ...................................................................................2438 62.3. Genetic Query Optimization (GEQO) in PostgreSQL ......................................2439 62.3.1. Generating Possible Plans with GEQO ...............................................2440 62.3.2. Future Implementation Tasks for PostgreSQL GEQO ...........................2440 62.4. Further Reading .......................................................................................2441 63. Table Access Method Interface Definition ...............................................................2442 64. Index Access Method Interface Definition ...............................................................2443 64.1. Basic API Structure for Indexes ..................................................................2443 64.2. Index Access Method Functions ..................................................................2446 64.3. Index Scanning ........................................................................................2452 64.4. Index Locking Considerations .....................................................................2453 64.5. Index Uniqueness Checks ..........................................................................2454 64.6. Index Cost Estimation Functions .................................................................2455 65. Generic WAL Records .........................................................................................2459 66. Custom WAL Resource Managers .........................................................................2461 67. B-Tree Indexes ...................................................................................................2463 67.1. Introduction .............................................................................................2463 67.2. Behavior of B-Tree Operator Classes ...........................................................2463 67.3. B-Tree Support Functions ..........................................................................2464 67.4. Implementation ........................................................................................2467 67.4.1. B-Tree Structure ............................................................................2467 67.4.2. Bottom-up Index Deletion ...............................................................2467 67.4.3. Deduplication ................................................................................2468 68. GiST Indexes .....................................................................................................2470 68.1. Introduction .............................................................................................2470 68.2. Built-in Operator Classes ...........................................................................2470 68.3. Extensibility ............................................................................................2473 68.4. Implementation ........................................................................................2485 68.4.1. GiST Index Build Methods ..............................................................2485 68.5. Examples ................................................................................................2486 69. SP-GiST Indexes ................................................................................................2487 69.1. Introduction .............................................................................................2487 69.2.
What does this passage describe?,"sort order. Table 9.53. Array Operators Operator Description Example(s) anyarray @> anyarray → boolean Does the first array contain the second, that is, does each element appearing in the second array equal some element of the first array? (Duplicates are not treated specially, thus ARRAY[1] and ARRAY[1,1] are each considered to contain the other.) ARRAY[1,4,3] @> ARRAY[3,1,3] → t anyarray <@ anyarray → boolean Is the first array contained by the second? ARRAY[2,2,7] <@ ARRAY[1,7,4,2,6] → t anyarray && anyarray → boolean Do the arrays overlap, that is, have any elements in common? ARRAY[1,4,3] && ARRAY[2,1] → t anycompatiblearray || anycompatiblearray → anycompatiblearray Concatenates the two arrays. Concatenating a null or empty array is a no-op; otherwise the arrays must have the same number of dimensions (as illustrated by the first example) or differ in number of dimensions by one (as illustrated by the second). If the arrays are not of identical element types, they will be coerced to a common type (see Section 10.5 ). ARRAY[1,2,3] || ARRAY[4,5,6,7] → {1,2,3,4,5,6,7} ARRAY[1,2,3] || ARRAY[[4,5,6],[7,8,9.9]] → {{1,2,3},{4,5,6}, {7,8,9.9}} anycompatible || anycompatiblearray → anycompatiblearray Concatenates an element onto the front of an array (which must be empty or one-dimen- sional). 346"
What does this passage describe?,"SQL Syntax more expressions (separated by commas) for the row field values, and finally a right parenthesis. For example: SELECT ROW(1,2.5,'this is a test'); The key word ROW is optional when there is more than one expression in the list. A row constructor can include the syntax rowvalue .*, which will be expanded to a list of the elements of the row value, just as occurs when the .* syntax is used at the top level of a SELECT list (see Section 8.16.5 ). For example, if table t has columns f1 and f2, these are the same: SELECT ROW(t.*, 42) FROM t; SELECT ROW(t.f1, t.f2, 42) FROM t; Note Before PostgreSQL 8.2, the .* syntax was not expanded in row constructors, so that writing ROW(t.*, 42) created a two-field row whose first field was another row value. The new behavior is usually more useful. If you need the old behavior of nested row values, write the inner row value without .*, for instance ROW(t, 42) . By default, the value created by a ROW expression is of an anonymous record type. If necessary, it can be cast to a named composite type — either the row type of a table, or a composite type created with CREATE TYPE AS . An explicit cast might be needed to avoid ambiguity. For example: CREATE TABLE mytable(f1 int, f2 float, f3 text); CREATE FUNCTION getf1(mytable) RETURNS int AS 'SELECT $1.f1' LANGUAGE SQL; -- No cast needed since only one getf1() exists SELECT"
What does this passage describe?,"SQL Key Words Key Word PostgreSQL SQL:2023 SQL:2016 SQL-92 TIMESTAMP non-reserved (can- not be function or type)reserved reserved reserved TIMEZONE_HOUR reserved reserved reserved TIMEZONE_MINUTE reserved reserved reserved TO reserved, requires ASreserved reserved reserved TOKEN non-reserved non-reserved TOP_LEVEL_COUNT non-reserved non-reserved TRAILING reserved reserved reserved reserved TRANSACTION non-reserved non-reserved non-reserved reserved TRANSACTIONS_COMMITTED non-reserved non-reserved TRANSACTIONS_ROLLED_ BACK non-reserved non-reserved TRANSACTION_ACTIVE non-reserved non-reserved TRANSFORM non-reserved non-reserved non-reserved TRANSFORMS non-reserved non-reserved TRANSLATE reserved reserved reserved TRANSLATE_REGEX reserved reserved TRANSLATION reserved reserved reserved TREAT non-reserved (can- not be function or type)reserved reserved TRIGGER non-reserved reserved reserved TRIGGER_CATALOG non-reserved non-reserved TRIGGER_NAME non-reserved non-reserved TRIGGER_SCHEMA non-reserved non-reserved TRIM non-reserved (can- not be function or type)reserved reserved reserved TRIM_ARRAY reserved reserved TRUE reserved reserved reserved reserved TRUNCATE non-reserved reserved reserved TRUSTED non-reserved TYPE non-reserved non-reserved non-reserved non-reserved TYPES non-reserved UESCAPE non-reserved reserved reserved UNBOUNDED non-reserved non-reserved non-reserved UNCOMMITTED non-reserved non-reserved non-reserved non-reserved UNCONDITIONAL non-reserved non-reserved UNDER non-reserved non-reserved UNENCRYPTED non-reserved 2600"
What does this passage describe?,"Monitoring Database Activity Whenever VACUUM is running, the pg_stat_progress_vacuum view will contain one row for each backend (including autovacuum worker processes) that is currently vacuuming. The tables be- low describe the information that will be reported and provide information about how to interpret it. Progress for VACUUM FULL commands is reported via pg_stat_progress_cluster because both VACUUM FULL and CLUSTER rewrite the table, while regular VACUUM only modifies it in place. See Section 28.4.2 . Table 28.44. pg_stat_progress_vacuum View Column Type Description pid integer Process ID of backend. datid oid OID of the database to which this backend is connected. datname name Name of the database to which this backend is connected. relid oid OID of the table being vacuumed. phase text Current processing phase of vacuum. See Table 28.45 . heap_blks_total bigint Total number of heap blocks in the table. This number is reported as of the beginning of the scan; blocks added later will not be (and need not be) visited by this VACUUM. heap_blks_scanned bigint Number of heap blocks scanned. Because the visibility map is used to optimize scans, some blocks will be skipped without inspection; skipped blocks are included in this total, so that this number will eventually become equal to heap_blks_total when the vac- uum is complete. This counter only advances when the phase is scanning heap . heap_blks_vacuumed bigint Number of heap blocks vacuumed. Unless the table has no indexes, this counter only ad- vances when the phase is vacuuming heap . Blocks that contain"
What does this passage describe?,"to date. 25.1.4. Updating the Visibility Map Vacuum maintains a visibility map for each table to keep track of which pages contain only tuples that are known to be visible to all active transactions (and all future transactions, until the page is again modified). This has two purposes. First, vacuum itself can skip such pages on the next run, since there is nothing to clean up. Second, it allows PostgreSQL to answer some queries using only the index, without reference to the underlying table. Since PostgreSQL indexes don't contain tuple visibility information, a normal index scan fetches the heap tuple for each matching index entry, to check whether it should be seen by the current transaction. An index-only scan , on the other hand, checks the visibility map first. If it's known that all tuples on the page are visible, the heap fetch can be skipped. This is most useful on large data sets where the visibility map can prevent disk accesses. The visibility map is vastly smaller than the heap, so it can easily be cached even when the heap is very large. 25.1.5. Preventing Transaction ID Wraparound Failures PostgreSQL's MVCC transaction semantics depend on being able to compare transaction ID (XID) numbers: a row version with an insertion XID greater than the current transaction's XID is “in the future” and should not be visible to the current transaction. But since transaction IDs have limited size (32 bits) a cluster that runs for a long time (more than 4"
What does this passage describe?,"The valid options are data for main data files, wal for WAL files, and wal_init for WAL files when being initially allocated. This parameter can only be set at server start. Some operating systems and file systems do not support direct I/O, so non-default settings may be rejected at startup or cause errors. Currently this feature reduces performance, and is intended for developer testing only. debug_parallel_query (enum) Allows the use of parallel queries for testing purposes even in cases where no performance benefit is expected. The allowed values of debug_parallel_query are off (use parallel mode only when it is expected to improve performance), on (force parallel query for all queries for which it 680"
What does this passage describe?,"Indexes SELECT * FROM people WHERE (first_name || ' ' || last_name) = 'John Smith'; then it might be worth creating an index like this: CREATE INDEX people_names ON people ((first_name || ' ' || last_name)); The syntax of the CREATE INDEX command normally requires writing parentheses around index expressions, as shown in the second example. The parentheses can be omitted when the expression is just a function call, as in the first example. Index expressions are relatively expensive to maintain, because the derived expression(s) must be computed for each row insertion and non-HOT update. However, the index expressions are not recom- puted during an indexed search, since they are already stored in the index. In both examples above, the system sees the query as just WHERE indexedcolumn = 'constant' and so the speed of the search is equivalent to any other simple index query. Thus, indexes on expressions are useful when retrieval speed is more important than insertion and update speed. 11.8. Partial Indexes A partial index is an index built over a subset of a table; the subset is defined by a conditional expres- sion (called the predicate of the partial index). The index contains entries only for those table rows that satisfy the predicate. Partial indexes are a specialized feature, but there are several situations in which they are useful. One major reason for using a partial index is to avoid indexing common values. Since a query searching for a common value (one that accounts for more"
What does this passage describe?,"Date/Time Support 5.If BC was not specified, and if the year field was two digits in length, then adjust the year to four digits. If the field is less than 70, then add 2000, otherwise add 1900. Tip Gregorian years AD 1–99 can be entered by using 4 digits with leading zeros (e.g., 0099 is AD 99). B.2. Handling of Invalid or Ambiguous Time- stamps Ordinarily, if a date/time string is syntactically valid but contains out-of-range field values, an error will be thrown. For example, input specifying the 31st of February will be rejected. During a daylight-savings-time transition, it is possible for a seemingly valid timestamp string to represent a nonexistent or ambiguous timestamp. Such cases are not rejected; the ambiguity is resolved by determining which UTC offset to apply. For example, supposing that the TimeZone parameter is set to America/New_York , consider => SELECT '2018-03-11 02:30'::timestamptz; timestamptz ------------------------ 2018-03-11 03:30:00-04 (1 row) Because that day was a spring-forward transition date in that time zone, there was no civil time instant 2:30AM; clocks jumped forward from 2AM EST to 3AM EDT. PostgreSQL interprets the given time as if it were standard time (UTC-5), which then renders as 3:30AM EDT (UTC-4). Conversely, consider the behavior during a fall-back transition: => SELECT '2018-11-04 01:30'::timestamptz; timestamptz ------------------------ 2018-11-04 01:30:00-05 (1 row) On that date, there were two possible interpretations of 1:30AM; there was 1:30AM EDT, and then an hour later after clocks jumped back from 2AM EDT to 1AM EST, there was 1:30AM"
What does this passage describe?,"which consists of exactly 2 elements). The first element of each array entry is the namespace name (alias), the second the namespace URI. It is not required that aliases provided in this array be the same as those being used in the XML document itself (in other words, both in the XML document and in the xpath function context, aliases are local). Example: SELECT xpath('/my:a/text()', '<my:a xmlns:my=""http:// example.com"">test</my:a>', ARRAY[ARRAY['my', 'http://example.com']]); xpath -------- {test} 314"
